event_date,start_time,peak_time,end_time,goes_class,goes_location,noaa_active_region
2010-06-12,2010-06-12 00:30:00.000,2010-06-12 00:57:00.000,2010-06-12 01:02:00.000,M2.0,"(43, 23)",11081
2010-06-13,2010-06-13 05:30:00.000,2010-06-13 05:39:00.000,2010-06-13 05:44:00.000,M1.0,"(84, -25)",11079
2010-08-07,2010-08-07 17:55:00.000,2010-08-07 18:24:00.000,2010-08-07 18:47:00.000,M1.0,"(-34, 11)",11093
2010-10-16,2010-10-16 19:07:00.000,2010-10-16 19:12:00.000,2010-10-16 19:15:00.000,M2.9,"(26, -20)",11112
2010-11-04,2010-11-04 23:30:00.000,2010-11-04 23:58:00.000,2010-11-05 00:12:00.000,M1.6,"(-76, -20)",11121
2010-11-04,2010-11-04 23:30:00.000,2010-11-04 23:58:00.000,2010-11-05 00:12:00.000,M1.6,"(-76, -20)",1121
2010-11-05,2010-11-05 12:43:00.000,2010-11-05 13:29:00.000,2010-11-05 14:06:00.000,M1.0,"(0, 0)",11121
2010-11-06,2010-11-06 15:27:00.000,2010-11-06 15:36:00.000,2010-11-06 15:44:00.000,M5.4,"(-58, -19)",11121
2011-01-28,2011-01-28 00:44:00.000,2011-01-28 01:03:00.000,2011-01-28 01:10:00.000,M1.3,"(0, 0)",11149
2011-02-09,2011-02-09 01:23:00.000,2011-02-09 01:31:00.000,2011-02-09 01:35:00.000,M1.9,"(72, 17)",11153
2011-02-13,2011-02-13 17:28:00.000,2011-02-13 17:38:00.000,2011-02-13 17:47:00.000,M6.6,"(-4, -20)",11158
2011-02-14,2011-02-14 17:20:00.000,2011-02-14 17:26:00.000,2011-02-14 17:32:00.000,M2.2,"(18, 56)",11158
2011-02-15,2011-02-15 01:44:00.000,2011-02-15 01:56:00.000,2011-02-15 02:06:00.000,X2.2,"(0, 0)",11158
2011-02-16,2011-02-16 01:32:00.000,2011-02-16 01:39:00.000,2011-02-16 01:46:00.000,M1.0,"(0, 0)",0
2011-02-16,2011-02-16 07:35:00.000,2011-02-16 07:44:00.000,2011-02-16 07:55:00.000,M1.1,"(0, 0)",11161
2011-02-16,2011-02-16 14:19:00.000,2011-02-16 14:25:00.000,2011-02-16 14:29:00.000,M1.6,"(32, -20)",11158
2011-02-18,2011-02-18 09:55:00.000,2011-02-18 10:11:00.000,2011-02-18 10:15:00.000,M6.6,"(0, 0)",11158
2011-02-18,2011-02-18 10:23:00.000,2011-02-18 10:26:00.000,2011-02-18 10:37:00.000,M1.0,"(0, 0)",11162
2011-02-18,2011-02-18 12:59:00.000,2011-02-18 13:03:00.000,2011-02-18 13:06:00.000,M1.4,"(0, 0)",11158
2011-02-18,2011-02-18 14:00:00.000,2011-02-18 14:08:00.000,2011-02-18 14:15:00.000,M1.0,"(0, 0)",11162
2011-02-18,2011-02-18 20:56:00.000,2011-02-18 21:04:00.000,2011-02-18 21:14:00.000,M1.3,"(0, 0)",11162
2011-02-24,2011-02-24 07:23:00.000,2011-02-24 07:35:00.000,2011-02-24 07:42:00.000,M3.5,"(0, 0)",11163
2011-02-28,2011-02-28 12:38:00.000,2011-02-28 12:52:00.000,2011-02-28 13:03:00.000,M1.1,"(0, 0)",11164
2011-03-07,2011-03-07 05:00:00.000,2011-03-07 05:13:00.000,2011-03-07 05:19:00.000,M1.2,"(0, 0)",11164
2011-03-07,2011-03-07 07:49:00.000,2011-03-07 07:54:00.000,2011-03-07 07:56:00.000,M1.5,"(78, -20)",11165
2011-03-07,2011-03-07 07:59:00.000,2011-03-07 08:07:00.000,2011-03-07 08:15:00.000,M1.4,"(47, 25)",11164
2011-03-07,2011-03-07 09:14:00.000,2011-03-07 09:20:00.000,2011-03-07 09:28:00.000,M1.8,"(50, 23)",11164
2011-03-07,2011-03-07 13:45:00.000,2011-03-07 14:30:00.000,2011-03-07 14:56:00.000,M1.9,"(0, 0)",11166
2011-03-07,2011-03-07 19:43:00.000,2011-03-07 20:12:00.000,2011-03-07 20:58:00.000,M3.7,"(0, 0)",11164
2011-03-07,2011-03-07 21:45:00.000,2011-03-07 21:50:00.000,2011-03-07 21:55:00.000,M1.5,"(0, 0)",11165
2011-03-08,2011-03-08 02:24:00.000,2011-03-08 02:29:00.000,2011-03-08 02:32:00.000,M1.3,"(79, -18)",11165
