,min_lon,max_lon,max_height,max_width,start_time,harpnum,wavelength,fits_fullpath,label
0,-51.1221,-47.6015,548,700,2014-11-06T15:42:01Z,4781,304,/data/linn/newpipe_compressed/pos/2014.11.06_15:48:00_7h@1h_AARP4781_304.fits,1
1,-20.961,-18.3919,679,1589,2014-04-16T15:42:01Z,4000,304,/data/linn/newpipe_compressed/pos/2014.04.16_15:48:00_7h@1h_AARP4000_304.fits,1
2,6.52466,8.88793,1023,2075,2014-12-17T15:42:01Z,4920,131,/data/linn/newpipe_compressed/pos/2014.12.17_15:48:00_7h@1h_AARP4920_131.fits,1
3,-76.9724,-73.4868,883,387,2014-02-23T15:42:01Z,3793,304,/data/linn/newpipe_compressed/pos/2014.02.23_15:48:00_7h@1h_AARP3793_304.fits,1
4,0.055168,3.36191,342,798,2011-08-03T15:41:50Z,753,1600,/data/linn/newpipe_compressed/pos/2011.08.03_15:48:00_7h@1h_AARP753_1600.fits,1
5,-26.2516,-22.9199,521,617,2014-03-25T15:42:01Z,3894,211,/data/linn/newpipe_compressed/pos/2014.03.25_15:48:00_7h@1h_AARP3894_211.fits,1
6,-18.8162,-15.4287,418,692,2011-02-12T15:42:02Z,377,131,/data/linn/newpipe_compressed/pos/2011.02.12_15:48:00_7h@1h_AARP377_131.fits,1
7,29.558,32.4693,859,1300,2012-01-23T15:42:02Z,1321,131,/data/linn/newpipe_compressed/pos/2012.01.23_15:48:00_7h@1h_AARP1321_131.fits,1
8,-73.9005,-70.4053,555,623,2012-03-03T15:42:02Z,1449,131,/data/linn/newpipe_compressed/pos/2012.03.03_15:48:00_7h@1h_AARP1449_131.fits,1
9,-50.7757,-47.1297,644,719,2013-10-19T15:42:01Z,3291,211,/data/linn/newpipe_compressed/pos/2013.10.19_15:48:00_7h@1h_AARP3291_211.fits,1
10,73.5072,76.719,675,474,2013-10-28T15:42:01Z,3291,94,/data/linn/newpipe_compressed/pos/2013.10.28_15:48:00_7h@1h_AARP3291_94.fits,1
11,-80.5302,-75.8533,1008,695,2014-12-09T15:41:49Z,4920,1600,/data/linn/newpipe_compressed/pos/2014.12.09_15:48:00_7h@1h_AARP4920_1600.fits,1
12,-79.62,-75.8529,789,415,2013-12-31T15:42:01Z,3563,211,/data/linn/newpipe_compressed/pos/2013.12.31_15:48:00_7h@1h_AARP3563_211.fits,1
13,-23.5202,-20.1875,617,886,2013-10-21T15:41:49Z,3291,1600,/data/linn/newpipe_compressed/pos/2013.10.21_15:48:00_7h@1h_AARP3291_1600.fits,1
14,-31.339,-28.1551,430,675,2011-02-11T15:41:50Z,377,1600,/data/linn/newpipe_compressed/pos/2011.02.11_15:48:00_7h@1h_AARP377_1600.fits,1
15,-82.4031,-81.8883,845,356,2014-10-16T15:42:01Z,4698,131,/data/linn/newpipe_compressed/pos/2014.10.16_15:48:00_7h@1h_AARP4698_131.fits,1
16,-45.6121,-42.2007,451,595,2011-03-05T15:41:50Z,401,1600,/data/linn/newpipe_compressed/pos/2011.03.05_15:48:00_7h@1h_AARP401_1600.fits,1
